#Image_Name Image_Time_UTC Pointing
h0413_0003_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0413_0004_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0413_0005_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0649_0002_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0649_0003_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0649_0004_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0715_0002_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0715_0003_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0715_0005_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0715_0006_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0748_0003_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0748_0004_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h0748_0005_sr2.FIT 2022-08-21T21:31:54.224 SPC_Derived
h1064_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1064_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1064_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1163_0002_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1163_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1163_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1163_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1558_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1574_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1607_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1607_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1901_0011_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1901_0012_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1901_0013_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h1901_0014_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2151_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2151_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2233_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2233_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2381_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2381_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2397_0002_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2397_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2446_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2446_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2463_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2463_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2479_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2479_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2479_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2479_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2487_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2487_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2487_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2487_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2501_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2501_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2501_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2601_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2601_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
